x-axis,h=5,h=10,h=15,h=20,h=25,h=30,h=35,h=40,
68000000000000000000,900008544921875000,900937500000000000,904583333333333333,910000000000000000,916000000000000000,921666666666666666,926428571428571428,932500000000000000,
69000000000000000000,900007324218750000,900859375000000000,904375000000000000,909687500000000000,915500000000000000,921250000000000000,925714285714285714,931875000000000000,
70000000000000000000,900006103515625000,900781250000000000,904166666666666666,909375000000000000,915000000000000000,920833333333333333,925000000000000000,931250000000000000,
71000000000000000000,900005493164062500,900742187500000000,903958333333333333,909062500000000000,914500000000000000,920416666666666666,924642857142857142,930625000000000000,
72000000000000000000,900004882812500000,900703125000000000,903750000000000000,908750000000000000,914000000000000000,920000000000000000,924285714285714285,930000000000000000,
73000000000000000000,900004272460937500,900664062500000000,903541666666666666,908437500000000000,913500000000000000,919583333333333333,923928571428571428,929375000000000000,
74000000000000000000,900003662109375000,900625000000000000,903333333333333333,908125000000000000,913000000000000000,919166666666666666,923571428571428571,928750000000000000,
75000000000000000000,900003051757812500,900585937500000000,903125000000000000,907812500000000000,912500000000000000,918750000000000000,923214285714285714,928125000000000000,
76000000000000000000,900002746582031250,900546875000000000,903020833333333333,907500000000000000,912250000000000000,918333333333333333,922857142857142857,927500000000000000,
77000000000000000000,900002441406250000,900507812500000000,902916666666666666,907187500000000000,912000000000000000,917916666666666666,922500000000000000,926875000000000000,
78000000000000000000,900002136230468750,900468750000000000,902812500000000000,906875000000000000,911750000000000000,917500000000000000,922142857142857142,926250000000000000,
79000000000000000000,900001831054687500,900429687500000000,902708333333333333,906562500000000000,911500000000000000,917083333333333333,921785714285714285,925625000000000000,
80000000000000000000,900001525878906250,900390625000000000,902604166666666666,906250000000000000,911250000000000000,916666666666666666,921428571428571428,925000000000000000,
81000000000000000000,900001373291015625,900371093750000000,902500000000000000,906093750000000000,911000000000000000,916250000000000000,921071428571428571,924687500000000000,
82000000000000000000,900001220703125000,900351562500000000,902395833333333333,905937500000000000,910750000000000000,915833333333333333,920714285714285714,924375000000000000,
83000000000000000000,900001068115234375,900332031250000000,902291666666666666,905781250000000000,910500000000000000,915416666666666666,920357142857142857,924062500000000000,
84000000000000000000,900000915527343750,900312500000000000,902187500000000000,905625000000000000,910250000000000000,915000000000000000,920000000000000000,923750000000000000,
85000000000000000000,900000762939453125,900292968750000000,902083333333333333,905468750000000000,910000000000000000,914583333333333333,919642857142857142,923437500000000000,
86000000000000000000,900000686645507812,900273437500000000,901979166666666666,905312500000000000,909750000000000000,914166666666666666,919285714285714285,923125000000000000,
87000000000000000000,900000610351562500,900253906250000000,901875000000000000,905156250000000000,909500000000000000,913750000000000000,918928571428571428,922812500000000000,
88000000000000000000,900000534057617187,900234375000000000,901770833333333333,905000000000000000,909250000000000000,913333333333333333,918571428571428571,922500000000000000,
89000000000000000000,900000457763671875,900214843750000000,901666666666666666,904843750000000000,909000000000000000,912916666666666666,918214285714285714,922187500000000000,
90000000000000000000,900000381469726562,900195312500000000,901562500000000000,904687500000000000,908750000000000000,912500000000000000,917857142857142857,921875000000000000,
91000000000000000000,900000343322753906,900185546875000000,901510416666666666,904531250000000000,908500000000000000,912291666666666666,917500000000000000,921562500000000000,
92000000000000000000,900000305175781250,900175781250000000,901458333333333333,904375000000000000,908250000000000000,912083333333333333,917142857142857142,921250000000000000,
93000000000000000000,900000267028808593,900166015625000000,901406250000000000,904218750000000000,908000000000000000,911875000000000000,916785714285714285,920937500000000000,
94000000000000000000,900000228881835937,900156250000000000,901354166666666666,904062500000000000,907750000000000000,911666666666666666,916428571428571428,920625000000000000,
95000000000000000000,900000190734863281,900146484375000000,901302083333333333,903906250000000000,907500000000000000,911458333333333333,916071428571428571,920312500000000000,
96000000000000000000,900000171661376953,900136718750000000,901250000000000000,903750000000000000,907250000000000000,911250000000000000,915714285714285714,920000000000000000,
97000000000000000000,900000152587890625,900126953125000000,901197916666666666,903593750000000000,907000000000000000,911041666666666666,915357142857142857,919687500000000000,
98000000000000000000,900000133514404296,900117187500000000,901145833333333333,903437500000000000,906750000000000000,910833333333333333,915000000000000000,919375000000000000,
99000000000000000000,900000114440917968,900107421875000000,901093750000000000,903281250000000000,906500000000000000,910625000000000000,914642857142857142,919062500000000000,
100000000000000000000,900000095367431640,900097656250000000,901041666666666666,903125000000000000,906250000000000000,910416666666666666,914285714285714285,918750000000000000,
101000000000000000000,900000085830688476,900092773437500000,900989583333333333,903046875000000000,906125000000000000,910208333333333333,913928571428571428,918437500000000000,
102000000000000000000,900000076293945312,900087890625000000,900937500000000000,902968750000000000,906000000000000000,910000000000000000,913571428571428571,918125000000000000,
103000000000000000000,900000066757202148,900083007812500000,900885416666666666,902890625000000000,905875000000000000,909791666666666666,913214285714285714,917812500000000000,
104000000000000000000,900000057220458984,900078125000000000,900833333333333333,902812500000000000,905750000000000000,909583333333333333,912857142857142857,917500000000000000,
105000000000000000000,900000047683715820,900073242187500000,900781250000000000,902734375000000000,905625000000000000,909375000000000000,912500000000000000,917187500000000000,
106000000000000000000,900000042915344238,900068359375000000,900755208333333333,902656250000000000,905500000000000000,909166666666666666,912321428571428571,916875000000000000,
